image_id,text,word_length,image_mean,img_width,img_height,occur,top_100
a01-000x-03-04,a,1,192.9206081081081,32,37,2260,True
a01-000x-03-06,on,2,191.26363636363635,55,34,697,True
a01-000x-03-07,the,3,211.36120401337791,69,78,5825,True
a01-000x-04-00,and,3,205.76452974003,93,79,2473,True
a01-000x-04-01,he,2,206.7087610408212,59,71,885,True
a01-000x-04-02,is,2,231.89755713159968,47,81,978,True
a01-000x-04-03,to,2,194.50879901204075,41,79,2647,True
a01-000x-04-04,be,2,193.07464788732395,50,71,723,True
a01-000x-04-06,by,2,206.9929939792009,63,145,487,True
a01-000x-05-01,for,3,212.66600117439808,65,131,839,True
a01-003-00-01,they,4,218.2341488277268,109,90,269,True
a01-003-00-02,may,3,218.84870641169852,127,56,162,True
a01-003-00-04,some,4,184.9118394308943,164,24,140,True
a01-003-00-08,a,1,161.3057644110276,42,19,2260,True
a01-003-01-02,of,2,238.00942460317447,105,96,3190,True
a01-003-01-05,are,3,186.60502754820945,132,22,382,True
a01-003-01-07,to,2,204.4939965694683,66,53,2647,True
a01-003-02-02,the,3,211.7352989352989,111,55,5825,True
a01-003-03-02,will,4,224.8521729587357,134,68,270,True
a01-003-03-03,be,2,212.27023809523808,84,50,723,True
a01-003-03-04,that,4,205.4730117028899,158,53,1127,True
a01-003-03-05,as,2,163.76904948939512,67,19,702,True
a01-003-04-01,the,3,195.80446123403493,109,51,5825,True
a01-003-04-04,which,5,226.16634316770185,224,69,423,True
a01-003-05-02,into,4,224.04974554707383,131,60,145,True
a01-003-05-05,they,4,227.5549864594372,149,114,269,True
a01-003-05-07,not,3,222.52081696779263,134,57,479,True
a01-003-06-00,now,3,189.201221703198,121,23,116,True
a01-003-06-05,He,2,208.53870858688305,102,58,321,True
a01-003-07-00,that,4,216.5643135923977,166,71,1127,True
a01-003-07-01,the,3,209.6483130904184,114,65,5825,True
a01-003-07-03,of,2,232.5040447695036,141,128,3190,True
a01-003-07-06,be,2,200.84573863636365,64,55,723,True
a01-003-08-00,and,3,219.478526991772,151,66,2473,True
a01-003-08-01,that,4,201.8974734942477,143,62,1127,True
a01-003-08-04,not,3,228.9947987336047,134,66,479,True
a01-003-08-06,any,3,216.29194915254243,120,59,105,True
a01-003-09-00,which,5,220.82382943143813,184,65,423,True
a01-003-09-01,would,5,226.91995437466448,216,69,260,True
a01-003-09-03,to,2,203.07068452380955,64,63,2647,True
a01-003-09-06,up,2,131.3679487179487,52,15,181,True
a01-003-09-08,an,2,234.88133445945945,148,96,401,True
a01-003u-00-01,they,4,199.660658436214,162,75,269,True
a01-003u-00-02,may,3,205.18875532562384,212,62,162,True
a01-003u-00-04,some,4,196.8307005494505,224,39,140,True
a01-003u-01-02,a,1,158.3097398669086,57,29,2260,True
a01-003u-01-05,of,2,202.67791732077447,91,84,3190,True
a01-003u-02-01,are,3,194.6940518714086,137,47,382,True
a01-003u-02-03,to,2,188.88691343631595,73,47,2647,True
a01-003u-02-06,the,3,204.89636095402017,166,49,5825,True
a01-003u-03-06,will,4,206.59526909722223,144,64,270,True
a01-003u-04-00,be,2,183.05566666666667,100,60,723,True
a01-003u-04-01,that,4,191.3244414483821,176,59,1127,True
a01-003u-04-02,as,2,178.16075388026607,110,41,702,True
a01-003u-04-06,the,3,203.39522417153995,180,57,5825,True
a01-003u-05-02,which,5,216.13230298913044,276,64,423,True
a01-003u-06-00,into,4,218.1854647218453,176,67,145,True
a01-003u-06-03,they,4,219.3655284008481,206,87,269,True
a01-003u-06-05,not,3,203.8188172043011,124,60,479,True
a01-003u-06-06,now,3,179.91338854382332,161,36,116,True
a01-003u-07-03,He,2,203.4493094789705,118,54,321,True
a01-003u-07-05,that,4,193.10698851059345,179,53,1127,True
a01-003u-07-06,the,3,211.1362007168459,153,62,5825,True
a01-003u-08-01,of,2,196.45912042502948,88,77,3190,True
a01-003u-08-04,be,2,187.7590523882897,118,44,723,True
a01-003u-08-06,and,3,199.73077922077923,175,44,2473,True
a01-003u-09-00,that,4,197.40929383116887,176,56,1127,True
a01-003u-09-03,not,3,205.97239191729324,133,64,479,True
a01-003u-09-05,any,3,205.0996732026144,153,56,105,True
a01-003u-10-00,which,5,224.50762626262627,264,75,423,True
a01-003u-10-01,would,5,200.32093645484957,299,50,260,True
a01-003u-10-03,to,2,192.33668005354752,83,54,2647,True
a01-003u-10-06,up,2,186.6221724524076,95,47,181,True
a01-003u-10-08,an,2,174.59424414927258,102,31,401,True
a01-003x-00-01,they,4,222.01325563524583,122,128,269,True
a01-003x-00-02,may,3,223.02194055944057,130,88,162,True
a01-003x-00-04,some,4,207.89638447971785,168,54,140,True
a01-003x-00-08,a,1,198.6963772282921,37,47,2260,True
a01-003x-01-02,of,2,217.15260155977185,71,121,3190,True
a01-003x-01-05,are,3,205.88690476190484,96,42,382,True
a01-003x-01-07,to,2,214.6905241935484,62,80,2647,True
a01-003x-02-01,the,3,217.68588751289985,102,76,5825,True
a01-003x-03-00,will,4,209.3685853658536,125,82,270,True
a01-003x-03-01,be,2,205.8658579465541,72,79,723,True
a01-003x-03-02,that,4,214.9374540103017,151,81,1127,True
a01-003x-03-03,as,2,188.2257575757576,66,40,702,True
a01-003x-03-07,the,3,211.46076746849943,97,72,5825,True
a01-003x-04-02,which,5,210.2071031236628,171,82,423,True
a01-003x-04-06,into,4,217.48498249493275,134,81,145,True
a01-003x-04-09,they,4,219.83296875,128,150,269,True
a01-003x-05-01,not,3,225.6995144758137,134,83,479,True
a01-003x-05-02,now,3,216.01455026455025,144,63,116,True
a01-003x-05-07,He,2,210.94811046511632,80,86,321,True
a01-003x-06-00,that,4,219.18455834945203,141,88,1127,True
a01-003x-06-01,the,3,216.37072368421056,76,80,5825,True
a01-003x-06-03,of,2,221.0891952397785,69,123,3190,True
a01-003x-06-06,be,2,218.2224996532113,89,81,723,True
a01-003x-06-08,and,3,211.0861780455154,166,72,2473,True
a01-003x-07-00,that,4,211.7183214687149,157,85,1127,True
a01-003x-07-03,not,3,226.13274682306945,155,99,479,True
a01-003x-07-05,any,3,215.3135365307037,138,97,105,True
a01-003x-07-07,which,5,220.2330484330484,195,81,423,True
a01-003x-07-08,would,5,210.72078544061296,216,87,260,True
a01-003x-08-01,to,2,205.2412005028284,74,86,2647,True
a01-003x-08-04,up,2,215.6789413118527,88,79,181,True
a01-003x-08-06,an,2,195.306905370844,92,51,401,True
a01-007-00-07,and,3,226.924488603156,145,59,2473,True
a01-007-01-01,have,4,231.9540238562585,179,74,422,True
a01-007-01-02,been,4,229.9135723431498,154,71,373,True
a01-007-02-01,would,5,230.73534482758615,232,70,260,True
a01-007-02-05,the,3,231.9016806722689,119,80,5825,True
a01-007-03-00,of,2,231.3883881230116,82,92,3190,True
a01-007-03-01,the,3,227.0584558823529,120,68,5825,True
a01-007-03-03,of,2,232.78404255319143,90,94,3190,True
a01-007-03-06,but,3,232.84286065775444,137,89,418,True
a01-007-03-08,it,2,231.9126196990424,86,68,702,True
a01-007-04-01,has,3,231.67783882783883,140,78,333,True
a01-007-04-02,to,2,226.4339488636364,88,80,2647,True
a01-007-04-03,have,4,235.5171536732521,214,79,422,True
a01-007-04-04,an,2,213.91408934707903,97,30,401,True
a01-007-04-07,of,2,231.5129593810444,94,110,3190,True
a01-007-05-03,two,3,231.220156555773,168,73,133,True
a01-007-06-01,of,2,233.89889039855072,92,96,3190,True
a01-007-06-04,have,4,233.04327187671984,158,92,422,True
a01-007-06-06,to,2,238.05060405744248,107,82,2647,True
a01-007-07-02,to,2,235.4304029304029,91,66,2647,True
a01-007-07-04,the,3,224.49154691462385,104,91,5825,True
a01-007-07-06,from,4,236.12993762993764,148,117,384,True
a01-007-08-03,the,3,224.0886738860289,131,86,5825,True
a01-007u-00-07,and,3,199.5336976320583,183,42,2473,True
a01-007u-01-01,have,4,187.78330041694096,217,42,422,True
a01-007u-01-02,been,4,195.95353846153847,195,50,373,True
a01-007u-02-01,would,5,202.006734006734,264,54,260,True
a01-007u-02-04,the,3,196.83109040717736,126,46,5825,True
a01-007u-03-00,of,2,200.24031007751935,86,87,3190,True
a01-007u-03-01,the,3,203.4122159090909,128,55,5825,True
a01-007u-03-03,of,2,183.50105042016807,70,68,3190,True
a01-007u-03-06,but,3,194.57766081871347,150,57,418,True
a01-007u-03-08,it,2,195.318614489688,61,62,702,True
a01-007u-04-01,has,3,187.17522066034653,133,46,333,True
a01-007u-04-02,to,2,188.7204152249135,85,51,2647,True
a01-007u-04-03,have,4,199.91029970451663,206,46,422,True
a01-007u-04-04,an,2,184.09172976121133,101,34,401,True
a01-007u-05-00,of,2,185.42151898734176,80,79,3190,True
a01-007u-05-04,two,3,204.10406656510017,161,53,133,True
a01-007u-06-02,of,2,197.14111111111112,84,75,3190,True
a01-007u-07-00,have,4,205.0573891625616,210,58,422,True
a01-007u-07-02,to,2,199.2327586206896,90,58,2647,True
a01-007u-07-05,to,2,189.6083333333333,80,48,2647,True
a01-007u-08-00,the,3,202.9735280151947,162,52,5825,True
a01-007u-08-02,from,4,214.74326059050065,152,82,384,True
a01-007u-09-00,the,3,216.8154186973859,185,61,5825,True
a01-007x-00-07,and,3,216.090966066792,153,73,2473,True
a01-007x-01-01,have,4,224.54533668878213,141,93,422,True
a01-007x-01-02,been,4,217.52924382716049,144,90,373,True
a01-007x-02-00,would,5,219.69454638124364,218,90,260,True
a01-007x-02-03,the,3,222.1959507459152,103,82,5825,True
a01-007x-02-05,of,2,222.17121183022851,82,127,3190,True
a01-007x-02-06,the,3,215.21593319194065,92,82,5825,True
a01-007x-03-00,of,2,214.6532468890516,73,131,3190,True
a01-007x-03-03,but,3,215.51230541141587,142,95,418,True
a01-007x-03-05,it,2,227.6779609279609,78,84,702,True
a01-007x-03-08,has,3,218.7551353874884,102,84,333,True
a01-007x-03-09,to,2,210.21929824561403,72,76,2647,True
a01-007x-04-00,have,4,217.99532188241864,154,93,422,True
a01-007x-04-01,an,2,186.0682670667667,93,43,401,True
a01-007x-04-04,of,2,211.2473145780051,85,138,3190,True
a01-007x-05-00,two,3,226.82802496798976,142,88,133,True
a01-007x-05-05,of,2,219.65063414634147,82,125,3190,True
a01-007x-06-01,have,4,226.49177345356748,147,86,422,True
a01-007x-06-03,to,2,218.82239382239385,84,74,2647,True
a01-007x-06-06,to,2,213.21789383561645,64,73,2647,True
a01-007x-06-08,the,3,219.1453755131611,101,82,5825,True
a01-007x-07-01,from,4,220.4688209093201,163,146,384,True
a01-007x-07-06,the,3,218.50716524854457,116,77,5825,True
a01-011-00-01,from,4,218.08812462372063,151,88,384,True
a01-011-01-05,and,3,210.74131652661063,119,60,2473,True
a01-011-02-05,will,4,209.43532338308444,132,67,270,True
a01-011-02-07,in,2,218.9754385964912,80,57,1799,True
a01-011-03-00,to,2,205.2115546218488,68,70,2647,True
a01-011-03-02,a,1,198.61074561403512,48,38,2260,True
a01-011-03-05,of,2,203.9062753036437,65,76,3190,True
a01-011-03-10,is,2,220.050684079602,48,67,978,True
a01-011-04-02,to,2,210.1303241133548,83,71,2647,True
a01-011-04-05,an,2,191.1362162162162,75,37,401,True
a01-011-05-00,in,2,220.1727478870336,63,77,1799,True
a01-011-05-04,but,3,211.81,136,75,418,True
a01-011-05-05,the,3,210.3796011396012,117,75,5825,True
a01-011-06-04,is,2,219.92435897435897,60,65,978,True
a01-011-06-06,on,2,194.10180878552967,90,43,697,True
a01-011-06-07,a,1,199.93593073593075,55,42,2260,True
a01-011-06-09,of,2,207.0343137254902,66,68,3190,True
a01-011u-00-01,from,4,213.6619559563031,158,73,384,True
a01-011u-02-04,and,3,199.3758805297267,169,42,2473,True
a01-011u-03-06,will,4,212.68687424359115,149,61,270,True
a01-011u-04-01,in,2,215.41828703703703,72,60,1799,True
a01-011u-04-04,to,2,198.27426160337555,79,54,2647,True
a01-011u-04-06,a,1,174.00344827586207,60,29,2260,True
a01-011u-05-01,of,2,189.44310977644315,81,74,3190,True
a01-011u-05-06,is,2,203.8465909090909,48,66,978,True
a01-011u-06-01,to,2,190.3229369720597,81,57,2647,True
a01-011u-06-04,an,2,206.5443910048096,157,49,401,True
a01-011u-07-01,in,2,222.9705758722152,78,61,1799,True
a01-011u-07-05,but,3,205.25286617379192,153,61,418,True
a01-011u-07-06,the,3,210.59402441636325,161,58,5825,True
a01-011u-09-00,is,2,212.29818181818183,55,75,978,True
a01-011u-09-02,on,2,181.474645030426,87,34,697,True
a01-011u-09-03,a,1,164.28580246913583,54,30,2260,True
a01-011u-09-05,of,2,200.653823953824,99,70,3190,True
a01-011x-00-01,from,4,228.6604683195592,168,121,384,True
a01-011x-02-00,and,3,204.34567110655735,128,61,2473,True
a01-011x-03-04,will,4,204.8387654320988,50,81,270,True
a01-011x-03-06,in,2,214.36463844797177,63,72,1799,True
a01-011x-04-00,to,2,199.5973731884058,69,64,2647,True
a01-011x-04-02,a,1,193.62218468468467,37,48,2260,True
a01-011x-04-05,of,2,218.16738141650416,81,95,3190,True
a01-011x-05-02,is,2,215.35004530353368,43,77,978,True
a01-011x-05-05,to,2,203.0603550295858,65,65,2647,True
a01-011x-06-01,an,2,203.74508301404853,87,45,401,True
a01-011x-06-04,in,2,218.45156369183832,57,69,1799,True
a01-011x-07-02,but,3,209.9935786185352,134,86,418,True
a01-011x-07-03,the,3,193.1898373302029,89,67,5825,True
a01-011x-08-02,is,2,210.7322262584328,47,82,978,True
a01-011x-08-04,on,2,183.50237341772151,79,48,697,True
a01-011x-08-05,a,1,183.4658163265306,40,49,2260,True
a01-011x-08-07,of,2,200.6766030736619,74,102,3190,True
a01-014-00-05,is,2,225.2170673076923,65,64,978,True
a01-014-01-00,the,3,215.2940411137133,126,61,5825,True
a01-014-01-03,on,2,206.1986798679868,101,30,697,True
a01-014-01-04,the,3,225.34638314785371,148,68,5825,True
a01-014-03-01,We,2,211.9266304347826,92,52,100,True
a01-014-03-03,to,2,214.4870813397129,95,55,2647,True
a01-014-03-05,what,4,227.5153621495327,214,80,154,True
a01-014-03-06,to,2,222.2942989214176,99,59,2647,True
a01-014-03-07,do,2,219.7705078125,96,64,121,True
a01-014-03-08,if,2,226.000469043152,82,130,144,True
a01-014-03-09,the,3,219.7488114980653,135,67,5825,True
a01-014-04-03,in,2,235.51049645390069,94,75,1799,True
a01-014-04-04,to,2,223.9726350126857,89,62,2647,True
a01-014-04-07,and,3,225.78348554033485,180,73,2473,True
a01-014-05-00,the,3,212.29823975044565,132,68,5825,True
a01-014-05-06,are,3,206.2315436241611,149,40,382,True
a01-014-06-00,to,2,213.31708551189067,77,77,2647,True
a01-014-06-01,be,2,214.48108108108107,90,74,723,True
a01-014-08-00,his,3,222.72261975750348,117,86,708,True
a01-014-08-02,a,1,204.0270833333333,64,30,2260,True
a01-014-08-04,on,2,209.22162356321843,96,29,697,True
a01-014-08-05,his,3,230.27145454545453,125,88,708,True
a01-014-08-07,with,4,231.22041018038053,213,95,742,True
a01-014-09-02,at,2,217.02260569456428,95,61,560,True
a01-014u-00-05,is,2,215.4473823373876,62,61,978,True
a01-014u-01-01,the,3,210.0768058161351,164,52,5825,True
a01-014u-01-04,on,2,184.63599257884968,77,35,697,True
a01-014u-01-05,the,3,215.1917670682731,166,60,5825,True
a01-014u-03-04,We,2,205.186449579832,112,51,100,True
a01-014u-03-06,to,2,200.3228021978022,78,56,2647,True
a01-014u-03-08,what,4,208.82202982202983,198,63,154,True
a01-014u-03-09,to,2,206.26778752436647,76,54,2647,True
a01-014u-04-00,do,2,184.7983322361203,93,49,121,True
a01-014u-04-01,if,2,201.17706237424545,71,70,144,True
a01-014u-04-02,the,3,210.86849020544676,161,52,5825,True
a01-014u-06-04,his,3,208.1080091533181,115,57,708,True
a01-014u-07-00,a,1,174.5750649350649,55,35,2260,True
a01-014u-07-02,on,2,182.7413609782031,99,38,697,True
a01-014u-07-03,his,3,206.630737575182,117,54,708,True
a01-014u-07-05,with,4,213.8886666666667,175,60,742,True
a01-014u-08-00,at,2,186.8640507332541,87,58,560,True
a01-014x-00-05,is,2,235.41371640407783,83,65,978,True
a01-014x-01-00,the,3,218.10834059233449,112,82,5825,True
a01-014x-01-03,on,2,219.83888272290048,106,51,697,True
a01-014x-01-04,the,3,219.9165300546448,122,60,5825,True
a01-014x-03-01,We,2,217.6982758620689,90,116,100,True
a01-014x-03-03,to,2,210.5142424242424,44,75,2647,True
a01-014x-03-05,what,4,218.728950617284,216,75,154,True
a01-014x-03-06,to,2,209.4664704645785,71,67,2647,True
a01-014x-03-07,do,2,217.2336407553799,99,69,121,True
a01-014x-03-08,if,2,225.6058420483232,94,118,144,True
a01-014x-03-09,the,3,215.59411337209303,129,64,5825,True
a01-014x-04-03,in,2,224.1859686233033,93,61,1799,True
a01-014x-04-04,to,2,213.7729716520039,62,66,2647,True
a01-014x-05-00,and,3,224.365846082162,163,79,2473,True
a01-014x-05-01,the,3,214.81394064872325,115,63,5825,True
a01-014x-05-07,are,3,211.1204481792717,119,42,382,True
a01-014x-06-00,to,2,216.1416126042632,65,83,2647,True
a01-014x-06-01,be,2,220.26915584415585,77,80,723,True
a01-014x-08-00,his,3,218.985014985015,121,91,708,True
a01-014x-08-02,a,1,198.96943396226413,50,53,2260,True
a01-014x-08-04,on,2,207.42038539553752,116,51,697,True
a01-014x-08-05,his,3,218.99817721518983,125,79,708,True
a01-014x-08-07,with,4,224.28384742951908,201,75,742,True
a01-014x-09-01,at,2,216.96956901572509,101,68,560,True
a01-020-00-03,on,2,204.1789898989899,75,33,697,True
a01-020-00-04,with,4,226.23666666666668,125,60,742,True
a01-020-00-05,the,3,216.0207508017356,93,57,5825,True
a01-020-00-07,at,2,210.75246710526315,76,48,560,True
a01-020-01-03,the,3,217.55508935508936,99,65,5825,True
a01-020-01-05,which,5,221.6669324297389,173,58,423,True
a01-020-01-06,had,3,220.323613556338,142,64,732,True
a01-020-02-01,up,2,211.4486815415821,85,58,181,True
a01-020-02-03,He,2,210.38344671201813,70,63,321,True
a01-020-02-04,has,3,222.2576929405957,103,59,333,True
a01-020-02-05,now,3,215.5866606170599,116,38,116,True
a01-020-02-07,his,3,217.7768838304553,91,56,708,True
a01-020-03-00,to,2,209.00376068376067,45,65,2647,True
a01-020-03-01,the,3,212.9027417027417,99,70,5825,True
a01-020-03-03,and,3,211.79107142857143,140,48,2473,True
a01-020-04-01,do,2,201.75378787878788,77,48,121,True
a01-020-04-02,not,3,218.3830218068536,107,60,479,True
a01-020-04-04,the,3,211.2103389830509,100,59,5825,True
a01-020-04-06,the,3,216.4256894049347,106,65,5825,True
a01-020-05-01,they,4,225.260184813178,131,95,269,True
a01-020-05-02,are,3,206.6976389946687,101,39,382,True
a01-020-06-00,are,3,204.65127465127463,99,42,382,True
a01-020-06-02,them,4,220.64095904095905,154,65,163,True
a01-020-06-05,The,3,218.4104947526237,115,58,626,True
a01-020-07-00,will,4,216.6999219359875,105,61,270,True
a01-020-07-02,to,2,206.5997023809524,56,60,2647,True
a01-020-07-04,the,3,216.21093951093948,111,70,5825,True
a01-020-07-06,of,2,217.5342592592593,80,81,3190,True
a01-020-07-07,a,1,210.3782153064465,67,47,2260,True
a01-020-08-02,of,2,217.34689233394965,89,79,3190,True
a01-020u-00-03,on,2,176.1102077687444,82,27,697,True
a01-020u-00-04,with,4,218.6734595325478,167,62,742,True
a01-020u-00-05,the,3,200.6373384253819,148,46,5825,True
a01-020u-01-00,at,2,190.177139313766,82,59,560,True
a01-020u-01-04,the,3,205.88102796674232,135,49,5825,True
a01-020u-02-00,which,5,210.0794767090139,232,57,423,True
a01-020u-02-01,had,3,199.60430160087984,167,49,732,True
a01-020u-02-03,up,2,179.30576923076924,80,39,181,True
a01-020u-02-05,He,2,200.68375607123585,109,51,321,True
a01-020u-02-06,has,3,197.5736607142857,128,49,333,True
a01-020u-02-07,now,3,185.5257834521638,163,37,116,True
a01-020u-03-00,his,3,206.4607928240741,128,54,708,True
a01-020u-03-03,to,2,185.4387550200803,83,48,2647,True
a01-020u-03-04,the,3,215.43705700309476,159,63,5825,True
a01-020u-03-06,and,3,209.058810325477,165,54,2473,True
a01-020u-04-04,do,2,192.694,100,50,121,True
a01-020u-04-05,not,3,197.1257781550651,124,57,479,True
a01-020u-04-07,the,3,209.1204534718942,146,58,5825,True
a01-020u-05-01,the,3,213.107619047619,175,60,5825,True
a01-020u-05-04,they,4,210.5844575936884,169,75,269,True
a01-020u-05-05,are,3,196.5021952043229,126,47,382,True
a01-020u-06-04,are,3,180.3848559303105,121,37,382,True
a01-020u-07-00,them,4,211.96104224639515,201,59,163,True
a01-020u-07-03,The,3,215.6509615384616,208,60,626,True
a01-020u-07-05,will,4,216.2947368421053,165,57,270,True
a01-020u-08-00,to,2,175.8929912390488,68,47,2647,True
a01-020u-08-02,the,3,210.9509867707656,159,58,5825,True
a01-020u-08-04,of,2,201.53070494186048,86,64,3190,True
a01-020u-08-05,a,1,153.61538461538458,45,26,2260,True
a01-020u-09-01,of,2,203.814954978468,97,79,3190,True
a01-020x-00-03,on,2,168.23378378378382,74,30,697,True
a01-020x-00-04,with,4,204.91236448115643,149,52,742,True
a01-020x-00-05,the,3,187.714450069029,82,53,5825,True
a01-020x-00-07,at,2,196.2022828154724,83,57,560,True
a01-020x-01-03,the,3,196.6013071895425,85,63,5825,True
a01-020x-01-05,which,5,208.62042440318305,195,58,423,True
a01-020x-01-06,had,3,194.18052192628463,126,59,732,True
a01-020x-02-01,up,2,190.27624633431083,62,55,181,True
a01-020x-02-03,He,2,196.40524649479875,66,67,321,True
a01-020x-02-04,has,3,205.41491110115047,97,69,333,True
a01-020x-02-05,now,3,189.4104508196721,122,40,116,True
a01-020x-02-07,his,3,208.76700020420665,83,59,708,True
a01-020x-03-00,to,2,195.97110423116607,51,76,2647,True
a01-020x-03-01,the,3,198.44775406180312,86,73,5825,True
a01-020x-03-03,and,3,199.8995833333333,120,60,2473,True
a01-020x-04-01,do,2,187.7410169491525,75,59,121,True
a01-020x-04-02,not,3,202.84818481848183,101,60,479,True
a01-020x-04-04,the,3,177.81459566074955,78,65,5825,True
a01-020x-04-06,the,3,176.96755447941888,70,59,5825,True
a01-020x-05-01,they,4,210.01794953014465,123,77,269,True
a01-020x-05-02,are,3,186.9995644599304,112,41,382,True
a01-020x-05-07,are,3,192.77184265010345,105,46,382,True
a01-020x-06-01,them,4,206.52773178807945,151,64,163,True
a01-020x-06-04,The,3,198.7027224824356,112,61,626,True
a01-020x-06-06,will,4,209.5044183688252,117,59,270,True
a01-020x-07-00,to,2,194.2062039155861,57,69,2647,True
a01-020x-07-02,the,3,194.45945945945945,89,74,5825,True
a01-020x-07-04,of,2,207.26796830786645,76,93,3190,True
a01-020x-07-05,a,1,169.90017825311944,51,33,2260,True
a01-020x-08-00,of,2,204.4455324357405,76,86,3190,True
a01-026-00-04,the,3,212.45679619609768,107,57,5825,True
a01-026-01-00,in,2,225.42356241234225,46,62,1799,True
a01-026-01-01,the,3,210.9506628628964,101,59,5825,True
a01-026-01-05,that,4,219.57421124828528,135,54,1127,True
a01-026-01-06,there,5,216.55547141234385,139,57,204,True
a01-026-01-07,have,4,216.991363982728,127,62,422,True
a01-026-01-08,been,4,214.596807628524,134,72,373,True
a01-026-02-02,on,2,203.5651741293533,67,30,697,True
a01-026-03-00,The,3,215.7183908045977,102,58,626,True
a01-026-03-04,in,2,229.57307692307683,50,52,1799,True
a01-026-03-06,has,3,224.0645207235437,119,59,333,True
a01-026-04-00,been,4,216.08049040511727,134,70,373,True
a01-026-04-02,by,2,221.3245778611632,65,82,487,True
a01-026-04-03,the,3,215.68201581027668,92,55,5825,True
a01-026-04-04,two,3,218.48892889288928,101,55,133,True
a01-026-05-00,the,3,217.32402141184343,98,61,5825,True
a01-026-05-04,and,3,213.03457653457653,132,39,2473,True
a01-026-05-05,the,3,215.5907914201184,104,52,5825,True
a01-026-06-00,But,3,215.3354395604396,112,65,173,True
a01-026-06-02,of,2,220.0178967374089,82,77,3190,True
a01-026-07-01,of,2,211.8966501712981,74,71,3190,True
a01-026-07-02,the,3,212.501559454191,95,54,5825,True
a01-026-08-00,to,2,205.4364801864801,52,66,2647,True
a01-026-08-02,at,2,222.6706967213115,80,61,560,True
a01-026-08-03,the,3,214.00129270544784,95,57,5825,True
a01-026-08-05,for,3,224.126636904762,84,80,839,True
a01-026-08-07,with,4,220.3602457218078,129,53,742,True
a01-026u-00-04,the,3,208.48489624376148,162,47,5825,True
a01-026u-01-01,in,2,218.01468069488624,61,67,1799,True
a01-026u-01-02,the,3,212.15849056603767,165,53,5825,True
a01-026u-01-06,that,4,195.49274789029536,158,48,1127,True
a01-026u-02-00,there,5,205.60259740259735,196,55,204,True
a01-026u-02-01,have,4,202.12961492655816,229,44,422,True
a01-026u-02-02,been,4,206.87384802643015,213,54,373,True
a01-026u-02-05,on,2,178.80704365079362,72,28,697,True
a01-026u-03-04,The,3,218.6295858919856,174,73,626,True
a01-026u-04-02,in,2,227.01044776119403,70,67,1799,True
a01-026u-04-04,has,3,201.67473030402093,133,46,333,True
a01-026u-04-05,been,4,194.59123521427188,191,54,373,True
a01-026u-05-01,by,2,210.3871746031746,105,75,487,True
a01-026u-05-02,the,3,210.7322605877752,157,57,5825,True
a01-026u-05-03,two,3,203.24473039215687,160,51,133,True
a01-026u-06-00,the,3,208.4789081885856,155,52,5825,True
a01-026u-06-04,and,3,211.84223484848485,165,64,2473,True
a01-026u-06-05,the,3,200.33962264150944,127,53,5825,True
a01-026u-07-02,But,3,208.5120557491289,205,70,173,True
a01-026u-07-04,of,2,202.3356643356644,99,65,3190,True
